t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
0.000000000000000000e+00,7.857317998396899927e-01,1.977234461859409986e+00,-1.428925498828662377e+00,-5.483089582678805085e-01,-7.857317892535407022e-01,1.570799999945447389e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.378530862196183371e+00,-6.323217849888745690e+00,-9.201857846846667854e+00,-2.613238269399043023e+00,7.368153091238286434e-01,-1.073633691829023809e-02
2.000000000000000042e-03,7.856965261059496441e-01,1.977170571668563692e+00,-1.428821733791320714e+00,-5.483433436373300607e-01,-7.855964130180205229e-01,1.570817183745823797e+00,2.574536882897963605e-02,4.689071831249849720e-02,-7.620920350660705112e-02,2.459990524696226491e-02,-9.999998376287322355e-02,-1.286656362447199768e-02,4.206758710551011582e+00,-6.517768912960323568e+00,-9.256204302322132094e+00,-2.642910952423398907e+00,7.027028449503510688e-01,-9.354372096937913980e-03
4.000000000000000083e-03,7.857134961957298325e-01,1.977201198086224299e+00,-1.428871445598585588e+00,-5.483265936627585990e-01,-7.856610367485221680e-01,1.570809050304906140e+00,5.092999946043715032e-02,9.324322763005644943e-02,-1.516939696010108363e-01,4.778428925869300514e-02,-1.999999554936063018e-01,-2.601316395047223104e-02,4.039386402240369378e+00,-6.708281099847706486e+00,-9.304016424255319606e+00,-2.670444572469373057e+00,6.686409702952620382e-01,-7.991693450317352218e-03
6.000000000000000125e-03,7.857815934087321041e-01,1.977325259486636400e+00,-1.429073123719215577e+00,-5.482615546607217949e-01,-7.859256604350961517e-01,1.570775010369497959e+00,7.555668051686607878e-02,1.390544872907771012e-01,-2.264182989101990173e-01,6.954423394499248401e-02,-2.999999234335376519e-01,-3.945683820343613701e-02,3.876286062480662320e+00,-6.894680241332297399e+00,-9.345160598073547931e+00,-2.695778022836474719e+00,6.346116746841141687e-01,-6.647654875694416522e-03
8.000000000000000167e-03,7.858997010446574505e-01,1.977541674244042813e+00,-1.429425257621970147e+00,-5.481510729477746535e-01,-7.863902840677930994e-01,1.570714474686402351e+00,9.962820062075990191e-02,1.843214566327636139e-01,-3.003461920611588676e-01,8.987082121566090931e-02,-3.999998958240057467e-01,-5.321462360879915254e-02,3.717329816488295080e+00,-7.076892168195497490e+00,-9.379503209204138159e+00,-2.718850196824210474e+00,6.005969476424605213e-01,-5.321610270334965406e-03
1.000000000000000021e-02,7.860667024726133434e-01,1.977849360657008893e+00,-1.429926335879617927e+00,-5.479979950624357388e-01,-7.870549076368691388e-01,1.570626853578383386e+00,1.231473502111895546e-01,2.290410849744555777e-01,-3.734416243729902773e-01,1.087551347857134976e-01,-4.999998806984695121e-01,-6.730355047121885925e-02,3.562389733058873631e+00,-7.254842809295102946e+00,-9.406910678998539055e+00,-2.739600020078375664e+00,5.665787383401477140e-01,-4.012911915952141473e-03
1.200000000000000025e-02,7.862814867737017988e-01,1.978247230795846745e+00,-1.430574773326645843e+00,-5.478051858103374361e-01,-7.879195311494607834e-01,1.570511522470491528e+00,1.461170692279513128e-01,2.732094970357800134e-01,-4.456664883756570883e-01,1.261884069357882554e-01,-5.999998689823125009e-01,-8.174007952901826690e-02,3.411333237667759644e+00,-7.428466164982409303e+00,-9.427252385293300563e+00,-2.757969080280159080e+00,5.325356747522231871e-01,-2.720779137463972056e-03
1.400000000000000029e-02,7.865429529100813610e-01,1.978734185956749103e+00,-1.431368857239279979e+00,-5.475755415969975060e-01,-7.889841546419066320e-01,1.570367796418982165e+00,1.685405562289165604e-01,3.168213910815110834e-01,-5.169790736271926423e-01,1.421621269469846016e-01,-6.999998220060278387e-01,-9.653968624002264021e-02,3.264019723410939822e+00,-7.597710198310938523e+00,-9.440402820284663932e+00,-2.773903570108275041e+00,4.984406395906002540e-01,-1.444201260700974038e-03
1.600000000000000033e-02,7.868500027890587001e-01,1.979309122973390789e+00,-1.432306836584703369e+00,-5.473119670614384757e-01,-7.902487781260594257e-01,1.570194975291123729e+00,1.904210598665669052e-01,3.598710374868738238e-01,-5.873366346890626088e-01,1.566678262329760096e-01,-7.999997256322891603e-01,-1.117174616681389232e-01,3.120308887774955853e+00,-7.762524461999683822e+00,-9.446238366749371451e+00,-2.787350905452568028e+00,4.642659826839102832e-01,-1.821528519387043295e-04
1.800000000000000211e-02,7.872015477566660646e-01,1.979970922370282160e+00,-1.433386837092014421e+00,-5.470173913281757283e-01,-7.917134014820436105e-01,1.569992314775754849e+00,2.117619460349733640e-01,4.023513309449813224e-01,-6.566931715476065357e-01,1.696971159306034926e-01,-8.999996978602462505e-01,-1.272871193955575353e-01,2.980065733507383907e+00,-7.922859476562060799e+00,-9.444642054025061739e+00,-2.798262182761403150e+00,4.299842386256907401e-01,1.066352512916052524e-03
2.000000000000000042e-02,7.875965025354332294e-01,1.980718458585259301e+00,-1.434606940002200570e+00,-5.466947522140267468e-01,-7.933780245752187765e-01,1.569759055157111893e+00,2.325666190345500595e-01,4.442546726447725303e-01,-7.250015231743223154e-01,1.812416416592951829e-01,-9.999998714278792722e-01,-1.432618712900056990e-01,2.843156025566548895e+00,-8.078666444068105079e+00,-9.435498976101301949e+00,-2.806589780371108400e+00,3.955673870530184710e-01,2.302309426462801484e-03
2.199999999999999872e-02,7.880337904704283192e-01,1.981550587145525899e+00,-1.435965107579609379e+00,-5.463470088416710890e-01,-7.952426476648554177e-01,1.569494402706392178e+00,2.528385341008097531e-01,4.855721850525548389e-01,-7.922116068509568176e-01,1.912932166412839030e-01,-1.099999982796779241e+00,-1.596535286011057098e-01,2.709432327338673563e+00,-8.229902780261665995e+00,-9.418695324271087799e+00,-2.812288886631884921e+00,3.609777062753214971e-01,3.527028441774317843e-03
2.400000000000000050e-02,7.885123418454926814e-01,1.982466148338152712e+00,-1.437459206303617343e+00,-5.459771374732502736e-01,-7.973072713199791384e-01,1.569197536354685507e+00,2.725811878176746528e-01,5.262939617601478659e-01,-8.582709891609590080e-01,1.998437898115146272e-01,-1.199999456807092413e+00,-1.764727747835086735e-01,2.578736890174761598e+00,-8.376530793044997480e+00,-9.394118305915327483e+00,-2.815316973691387670e+00,3.261698284657233993e-01,4.742068433597500243e-03
2.600000000000000228e-02,7.890310921028715896e-01,1.983463967892221680e+00,-1.439087025423975152e+00,-5.455881262575222879e-01,-7.995718952776496025e-01,1.568867619200987829e+00,2.917981605427272807e-01,5.664093529510634273e-01,-9.231255558575406361e-01,2.068855329608741411e-01,-1.299998554347252311e+00,-1.937293560899492895e-01,2.450950018898612193e+00,-8.518500567261710898e+00,-9.361675386689666922e+00,-2.815636508516556447e+00,2.911162939702424124e-01,5.948301333415939411e-03
2.800000000000000058e-02,7.895889868400348677e-01,1.984542842627494252e+00,-1.440846201685201722e+00,-5.451829866780896205e-01,-8.020365175550059345e-01,1.568503783523079509e+00,3.104932016532379047e-01,6.059062469373145410e-01,-9.867178888369474432e-01,2.124110660322027222e-01,-1.399999264686018430e+00,-2.114311660961441797e-01,2.326030464760713290e+00,-8.655736899459640199e+00,-9.321315420669785468e+00,-2.813220045922405266e+00,2.558267208487578492e-01,7.145179383875569987e-03
2.999999999999999889e-02,7.901849748963346576e-01,1.985701559312734954e+00,-1.442734322512390310e+00,-5.447647369607170331e-01,-8.047011371251966416e-01,1.568105153754091763e+00,3.286700261465440587e-01,6.447720651797911318e-01,-1.048989620617417184e+00,2.164132189788722516e-01,-1.500002615909983961e+00,-2.295855068270756527e-01,2.203901215568933925e+00,-8.788178400868700280e+00,-9.272979373141101433e+00,-2.808040461967647783e+00,2.202907940576846191e-01,8.332875973896770525e-03
3.200000000000000067e-02,7.908180167043634690e-01,1.986938866948121607e+00,-1.444748797551010489e+00,-5.443364178718778090e-01,-8.075657597215759598e-01,1.567670830702066365e+00,3.463320299558689253e-01,6.829925592549241919e-01,-1.109879222489482675e+00,2.188857213976417582e-01,-1.600002839920128705e+00,-2.481975646165388016e-01,2.084222368626044819e+00,-8.915861678338091068e+00,-9.216533150728563939e+00,-2.800065345065212874e+00,1.843563836503124831e-01,9.516750597427238792e-03
3.400000000000000244e-02,7.914870772331440429e-01,1.988253499286036341e+00,-1.446886965489567745e+00,-5.439010789493059495e-01,-8.106303925818290068e-01,1.567199906185820835e+00,3.634825541665080983e-01,7.205528510535423869e-01,-1.169323937752364984e+00,2.198226818457085230e-01,-1.699992656133712421e+00,-2.672716848978954340e-01,1.966598068842334346e+00,-9.038845481786344394e+00,-9.151831295033012736e+00,-2.789263005816361218e+00,1.478403432484790281e-01,1.070329218770876487e-02
3.600000000000000422e-02,7.921911290820632390e-01,1.989644155544534110e+00,-1.449146019288504839e+00,-5.434617835572970179e-01,-8.138950238524084169e-01,1.566691461741493541e+00,3.801261741925056614e-01,7.574374532030350160e-01,-1.227259114675039786e+00,2.192193566495541923e-01,-1.799983973794277103e+00,-2.868105517388899739e-01,1.851427451144735059e+00,-9.156918755534364962e+00,-9.079050446961650422e+00,-2.775655865640542341e+00,1.109711883102069974e-01,1.188383600460137662e-02
3.799999999999999906e-02,7.929291520411658745e-01,1.991109502429718070e+00,-1.451523014727578387e+00,-5.430216080628960107e-01,-8.173596238464745367e-01,1.566144569244515949e+00,3.962686191977354833e-01,7.936303026033314501e-01,-1.283618319937237073e+00,2.170720832409412104e-01,-1.900006627526836800e+00,-3.068152854149913122e-01,1.739852368512005087e+00,-9.269618448008207778e+00,-8.998668374395345282e+00,-2.759316976324906800e+00,7.436200382802155007e-02,1.303556108868540730e-02
4.000000000000000083e-02,7.937001333525891544e-01,1.992648185432692509e+00,-1.454014919748852552e+00,-5.425836338341784026e-01,-8.210242002180465626e-01,1.565558298875044274e+00,4.119134635344010587e-01,8.291141276016427142e-01,-1.338334595996663934e+00,2.133780310570143335e-01,-2.000052915775903717e+00,-3.272860338567431526e-01,1.631498111048123478e+00,-9.377019872956749325e+00,-8.910619391971385639e+00,-2.740242932820069033e+00,3.783175126265787142e-02,1.416492568175699469e-02
4.200000000000000261e-02,7.945030776833321706e-01,1.994258801573540296e+00,-1.456618501849182845e+00,-5.421509531621316880e-01,-8.248888530104832029e-01,1.564931717605653860e+00,4.270589383364206126e-01,8.638687749942114413e-01,-1.391339879796929635e+00,2.081362887417143592e-01,-2.100022264489002755e+00,-3.482207303713747426e-01,1.522235927364528507e+00,-9.480529893760413884e+00,-8.813489274191598000e+00,-2.718239828840001593e+00,-7.659414859577263340e-04,1.535084739528836187e-02
4.399999999999999745e-02,7.953369912011217790e-01,1.995939931876572260e+00,-1.459330469580058409e+00,-5.417266602308639101e-01,-8.289536472298020264e-01,1.564263892953620338e+00,4.417054325592438824e-01,8.978746295627183516e-01,-1.442565913637390951e+00,2.013466827822654459e-01,-2.199849318766822215e+00,-3.696166835160007436e-01,1.409377473575318174e+00,-9.581056127898555985e+00,-8.706413633618378611e+00,-2.693198754426765262e+00,-4.282655077962604917e-02,1.664462093343248988e-02
4.599999999999999922e-02,7.962008723958782230e-01,1.997690095746363914e+00,-1.462147327233191962e+00,-5.413138510966890582e-01,-8.332183053790553906e-01,1.563553899612148079e+00,4.558740662977558977e-01,9.311188641268797195e-01,-1.491944228989342092e+00,1.930122129619724347e-01,-2.299813007868277470e+00,-3.914691311560324349e-01,1.304268784497366829e+00,-9.674610100519634770e+00,-8.593797058426201119e+00,-2.665806527227944756e+00,-8.242062299603532260e-02,1.782791296552219476e-02
4.800000000000000100e-02,7.970937187983165861e-01,1.999507785426493989e+00,-1.465065486296001085e+00,-5.409156222793460866e-01,-8.376824363761090630e-01,1.562800815786357989e+00,4.695928686046881850e-01,9.635908736916550810e-01,-1.539406382466293799e+00,1.831372658845621670e-01,-2.400306436461985715e+00,-4.137723600377112287e-01,1.222913796181429813e+00,-9.755580650997295322e+00,-8.481799228585563455e+00,-2.637016393781089096e+00,-1.111882487135786857e-01,1.859294486489683138e-02
5.000000000000000278e-02,7.980145923013602927e-01,2.001391471821319268e+00,-1.468081210969798711e+00,-5.405350609475185752e-01,-8.423465637276326134e-01,1.562003731808432772e+00,4.828354450479095394e-01,9.952611270056127557e-01,-1.584887120820960060e+00,1.717269977056283259e-01,-2.500803350845174577e+00,-4.365188787984438656e-01,1.143940973841437447e+00,-9.831458849749983742e+00,-8.362723584897747031e+00,-2.605726948445235447e+00,-1.402942632640866993e-01,1.935115935225753883e-02
5.200000000000000455e-02,7.989626257246387198e-01,2.003339602353206406e+00,-1.471190603278345499e+00,-5.401752439445771659e-01,-8.472122189078815646e-01,1.561161751385564678e+00,4.955154210824990191e-01,1.026079235534405054e+00,-1.628324709226250055e+00,1.587874114673224479e-01,-2.599764273188771124e+00,-4.596992379587614974e-01,1.004787291712957664e+00,-9.924175710230871417e+00,-8.213602563549834201e+00,-2.568572337248931969e+00,-2.024217134567190546e-01,2.130665257557535705e-02
5.399999999999999939e-02,7.999368601609927465e-01,2.005350568390154020e+00,-1.474389691334599739e+00,-5.398392411462267226e-01,-8.522792884860954654e-01,1.560273989084879132e+00,5.076449345090812137e-01,1.056029687586037991e+00,-1.669656271378417989e+00,1.443284063697687636e-01,-2.697303194222410827e+00,-4.833036031034276259e-01,8.101664555419815228e-01,-1.003210154326068704e+01,-8.036483732915806755e+00,-2.525913196570135355e+00,-2.951193676087001116e-01,2.436960801036974072e-02
