t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
0.000000000000000000e+00,1.168251025037239143e-08,2.062630960228924337e+00,-1.286620325453555314e+00,-7.760106225370887456e-01,-1.099681652913384732e-08,1.570799990142405678e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.860280390063751648e-30,7.632782754205106534e-30,0.000000000000000000e+00,0.000000000000000000e+00,-1.283675319339527832e-02,-3.299999766639762555e+01,-3.087245136319807415e+01,-1.045929397171157582e+01,-6.318402274477969739e-03,1.277926835049257061e-02
2.000000000000000042e-03,-6.285607515393426501e-09,2.062573689893050233e+00,-1.285593463196085251e+00,-7.770449013485952738e-01,7.851887184209887290e-08,1.570800016693384427e+00,4.547838545169040097e-06,1.410064317198325180e-02,-2.532702390910817614e-01,2.544353525634388546e-01,-2.217948586787639415e-05,-6.338596084430336310e-06,-1.257239636511959212e-02,-3.299999763733794822e+01,-3.072291013929990555e+01,-1.043753603568278265e+01,-6.212152006589338749e-03,1.273382190697598150e-02
4.000000000000000083e-03,-1.560981833137420836e-08,2.062545992177596155e+00,-1.285086531348546224e+00,-7.775536473425286310e-01,1.228862769781150559e-07,1.570800029238098805e+00,9.352270954720452026e-06,2.754184323452647104e-02,-5.034382270913216884e-01,5.046259754416588805e-01,-4.416687557100098019e-05,-1.226162257859888872e-05,-1.230183832712359454e-02,-3.299999759403712574e+01,-3.055592195629997576e+01,-1.041113919394125098e+01,-6.095046527670195530e-03,1.268452322193346256e-02
6.000000000000000125e-03,-1.594998205877672275e-08,2.062546929595855616e+00,-1.285093029998929381e+00,-7.775452545629994994e-01,1.224958932124806727e-07,1.570800028507338464e+00,1.438390115805168998e-05,4.038838957295927401e-02,-7.504537819199538218e-01,7.505880770874906460e-01,-6.596109857059099428e-05,-1.778612591602018675e-05,-1.202504518474504375e-02,-3.299999753959611581e+01,-3.037210327924979936e+01,-1.038018635250759480e+01,-5.967445615946196866e-03,1.263140143177783788e-02
8.000000000000000167e-03,-6.965958558807763076e-09,2.062575564661120797e+00,-1.285606459235225429e+00,-7.770281170541191162e-01,7.773821487876175564e-08,1.570800015231894831e+00,1.961333308456020139e-05,5.270507157261126313e-02,-9.942667214962127575e-01,9.923378659537647195e-01,-8.756108432786360483e-05,-2.292915253020876668e-05,-1.174198304332170657e-02,-3.299999747711586195e+01,-3.017207057320093000e+01,-1.034476041740242458e+01,-5.829709049642999540e-03,1.257448567292194716e-02
1.000000000000000021e-02,1.168239230732589131e-08,2.062630959886686988e+00,-1.286620319145426183e+00,-7.760106288599990521e-01,-1.099626368947561002e-08,1.570799990142559555e+00,2.501117066364345992e-05,6.455667861881209113e-02,-1.234826863739332703e+00,1.229891550493311891e+00,-1.089657623040360819e-04,-2.770774885467915805e-05,-1.145261800819135506e-02,-3.299999740969735740e+01,-2.995644030320490359e+01,-1.030494429464635786e+01,-5.682196606986265539e-03,1.251380508177862318e-02
1.200000000000000025e-02,4.033521067841743791e-08,2.062712177785845924e+00,-1.288128109817522571e+00,-7.745011840247496560e-01,-1.433170481586654449e-07,1.570799953970122287e+00,3.054801782469890369e-05,7.600800009689134829e-02,-1.472084026568547976e+00,1.463265339158962286e+00,-1.301740619603256684e-04,-3.213896132294589205e-05,-1.115691618469175084e-02,-3.299999734044153854e+01,-2.972582893431325601e+01,-1.026082089026000865e+01,-5.525268066201649043e-03,1.244938879476069869e-02
1.400000000000000029e-02,7.933263669326011390e-08,2.062818280871891563e+00,-1.290123331339505741e+00,-7.725081765924829424e-01,-3.188336441952416639e-07,1.570799907445375565e+00,3.619447849712399619e-05,8.712382539217866650e-02,-1.705988027903093007e+00,1.692475440403546694e+00,-1.511849127579495530e-04,-3.623983636852351345e-05,-1.085484367816065901e-02,-3.299999727244937731e+01,-2.948085293157753384e+01,-1.021247311026399096e+01,-5.359283205514810307e-03,1.238126594828100648e-02
1.600000000000000033e-02,1.290148104906471102e-07,2.062948331658116974e+00,-1.292599483799366400e+00,-7.700400006073092607e-01,-5.371555574656383139e-07,1.570799851299108374e+00,4.192115661031618740e-05,9.796894389000364300e-02,-1.936488685662201448e+00,1.917538062679895683e+00,-1.719972441581249110e-04,-4.002742042492653653e-05,-1.054636659393584815e-02,-3.299999720882181009e+01,-2.922212876004925874e+01,-1.015998386067891524e+01,-5.184601803151403510e-03,1.230946567875237756e-02
1.800000000000000211e-02,1.897218722093717433e-07,2.063101392657814781e+00,-1.295550067285095919e+00,-7.671050501133401811e-01,-7.978922936362897863e-07,1.570799786262113473e+00,4.769865609367293744e-05,1.086081449756959305e-01,-2.163535817765108948e+00,2.138469414440840044e+00,-1.926099856220690938e-04,-4.351875992566950943e-05,-1.023145103735507988e-02,-3.299999715265981592e+01,-2.895027288477998439e+01,-1.010343604752539903e+01,-5.001583637337089772e-03,1.223401712258764470e-02
2.000000000000000042e-02,2.617939619882270255e-07,2.063276526384278942e+00,-1.298968581884685447e+00,-7.637117191546867190e-01,-1.100653358373628884e-06,1.570799713065180292e+00,5.349758087659169288e-05,1.191062180345851262e-01,-2.387079242131047607e+00,2.355285704139209457e+00,-2.130220666109991544e-04,-4.673090130426694642e-05,-9.910063113756122782e-03,-3.299999710706433831e+01,-2.866590177082123603e+01,-1.004291257682405458e+01,-4.810588486297525876e-03,1.215494941619964242e-02
2.199999999999999872e-02,3.455091005604612062e-07,2.063472932262915283e+00,-1.302848421641986443e+00,-7.598683675239622515e-01,-1.445045995095040501e-06,1.570799632403078849e+00,5.929015891389922098e-05,1.295234883978327034e-01,-2.607069919606988417e+00,2.568002368644125344e+00,-2.332316713488582366e-04,-4.968015082840730501e-05,-9.582187216476630715e-03,-3.299999707192746712e+01,-2.836963103324212554e+01,-9.978495411593437225e+00,-4.611977078364987853e-03,1.207228822939035093e-02
2.400000000000000050e-02,4.408968235843894713e-07,2.063690357383999086e+00,-1.307182556411566665e+00,-7.555832180036775592e-01,-1.830668397950294869e-06,1.570799544826482430e+00,6.505511445698137476e-05,1.399024246443542063e-01,-2.823463382887959394e+00,2.776631758397297034e+00,-2.532340030210826465e-04,-5.237985401367346031e-05,-9.247880893047861345e-03,-3.299999703430530218e+01,-2.806207288708003134e+01,-9.910262742730687080e+00,-4.406113942412201792e-03,1.198604536510240563e-02
2.600000000000000228e-02,5.479245435863500488e-07,2.063928685758135817e+00,-1.311963849997494158e+00,-7.508644591227924270e-01,-2.257116498704405602e-06,1.570799450850043577e+00,7.077279588007568973e-05,1.502810310311065156e-01,-3.036216307665288383e+00,2.981185452210440623e+00,-2.730235195311293849e-04,-5.484261616542102785e-05,-8.907219980098047066e-03,-3.299999697804492627e+01,-2.774383869733892283e+01,-9.838291818074338835e+00,-4.193364557475509971e-03,1.189622915945965156e-02
2.800000000000000058e-02,6.665596730926802666e-07,2.064187801395926058e+00,-1.317185166203835633e+00,-7.457202794102654186e-01,-2.723986229122382292e-06,1.570799350988411947e+00,7.642355155741968782e-05,1.606973118150463731e-01,-3.245285369630301009e+00,3.181675028895267321e+00,-2.925946787824549645e-04,-5.708104258900554862e-05,-8.560280314255402923e-03,-3.299999688699335110e+01,-2.741553982902275877e+01,-9.762659885462905862e+00,-3.974094402591253801e-03,1.180284794858591293e-02
2.999999999999999889e-02,7.967696246297186703e-07,2.064467588307974388e+00,-1.322839368834658469e+00,-7.401588673950556529e-01,-3.230873520969238555e-06,1.570799245756238083e+00,8.198772986325094519e-05,1.711892712531305760e-01,-3.450627244474322897e+00,3.378112067263493667e+00,-3.119419386785163588e-04,-5.910773858978263137e-05,-8.207137732148147430e-03,-3.299999674499764524e+01,-2.707778764713550856e+01,-9.683444192734903311e+00,-3.748668956795771657e-03,1.170591006860502610e-02
3.200000000000000067e-02,9.384925768717530302e-07,2.064767986090083607e+00,-1.328919255494612539e+00,-7.341883942483898862e-01,-3.777365197685145783e-06,1.570799135649204370e+00,8.744676782590203742e-05,1.817909546601320370e-01,-3.652199485185074312e+00,3.570507352991120875e+00,-3.310592447613544434e-04,-6.093459922629747765e-05,-7.847878449428621894e-03,-3.299999654869090904e+01,-2.673119603805023914e+01,-9.600723328424864533e+00,-3.517454748142790927e-03,1.160542628893522672e-02
3.400000000000000244e-02,1.091549767823860514e-06,2.065089156688870720e+00,-1.335417358978768565e+00,-7.278169617074453646e-01,-4.363011647771750342e-06,1.570799021087117220e+00,9.278645728600335037e-05,1.925205708696246520e-01,-3.849963154093729134e+00,3.758868499068571456e+00,-3.499384930351409216e-04,-6.257067844203571089e-05,-7.482630199713515354e-03,-3.299999634585283559e+01,-2.637638897407031280e+01,-9.514581244092633838e+00,-3.280822500944364194e-03,1.150141711261027690e-02
3.600000000000000422e-02,1.255733199008502245e-06,2.065431317641155839e+00,-1.342326145876822530e+00,-7.210526541501051101e-01,-4.987354150586254168e-06,1.570798902470812664e+00,9.799367883624122890e-05,2.033923694167587282e-01,-4.043880190906794070e+00,3.943202325279184794e+00,-3.685710670965275447e-04,-6.402431986976206153e-05,-7.111531096577577461e-03,-3.299999619705030796e+01,-2.601399294909506210e+01,-9.425103232114690144e+00,-3.039143988624323257e-03,1.139390547617729656e-02
