t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
0.000000000000000000e+00,1.168251025037042109e-08,2.062630960228924337e+00,-1.286620325453555314e+00,-7.760106225370887456e-01,-1.099681652644651784e-08,1.570799990142405678e+00,1.143086753201496906e-22,-3.446670091983262763e-21,-2.872783754619301357e-21,-4.130684025211348744e-22,1.438480705062748292e-20,-4.203243150627571407e-21,-1.377773991354403904e+01,-2.921735716465892096e+01,-2.330742846729082984e+01,-5.554899191193885422e+00,4.284062931673390473e+00,7.764750866496002504e-03
2.000000000000000042e-03,6.284089136720233523e-04,2.062758616362859954e+00,-1.285947248487396388e+00,-7.776842521268673147e-01,-3.207473203701555371e-03,1.570869268098419091e+00,-3.661250407416796748e-01,-7.407205919527870552e-02,-3.978525124306156457e-01,9.712065123346264039e-01,1.860760429644144454e+00,-3.998776621953673005e-02,-1.174250543402024149e+01,-2.915889767401685617e+01,-2.269233479747169824e+01,-7.438488378804025025e+00,6.917359104475446774e-01,9.254636341437784408e-03
4.000000000000000083e-03,4.050466507557196538e-04,2.062712081200561265e+00,-1.286179024149026517e+00,-7.770843273193099865e-01,-2.052160581341498299e-03,1.570843990887910824e+00,-5.779109354531750675e-01,-1.111589320056908109e-01,-6.607606194663668830e-01,1.510973182614406163e+00,2.866144051627457667e+00,-6.011485312477202192e-02,-9.709213185306403204e+00,-2.910530805404881249e+01,-2.208459703462960633e+01,-8.402530665485285155e+00,-1.089839329934045420e+00,9.952879339695529931e-03
6.000000000000000125e-03,-4.463464253745681688e-04,2.062543129688842125e+00,-1.287116735143319479e+00,-7.748341771768938457e-01,2.240941298120601756e-03,1.570752381506800299e+00,-6.773585361304756969e-01,-1.222344979749464128e-01,-8.238141123771742791e-01,1.737738813125065729e+00,3.256324674853940504e+00,-6.606629003523566135e-02,-7.875702419101203944e+00,-2.905295004886872690e+01,-2.148725225861460686e+01,-8.698902169209006274e+00,-1.602895613992549873e+00,1.007840294170596340e-02
8.000000000000000167e-03,-1.702041633854746525e-03,2.062303536774516832e+00,-1.288561464175150384e+00,-7.715571307620960884e-01,8.446846862541700432e-03,1.570622662951007609e+00,-7.064686947695714148e-01,-1.182726366467556217e-01,-9.221027824329579570e-01,1.769942206152329556e+00,3.271476108227589386e+00,-6.352710627045740632e-02,-6.439812387103332370e+00,-2.899818540259054700e+01,-2.090333754927674903e+01,-8.579479007946527958e+00,-1.389665766249137846e+00,9.850130227905819560e-03
1.000000000000000021e-02,-3.138310293820722584e-03,2.062045077404400573e+00,-1.290314293949393676e+00,-7.678765171373944654e-01,1.534057053977875423e-02,1.570483058216452843e+00,-7.072422633664517955e-01,-1.102472275648285344e-01,-9.907164209036387614e-01,1.726022163981924429e+00,3.151772160652405841e+00,-5.818233114996705646e-02,-5.599382341011475361e+00,-2.893737585932822043e+01,-2.033588998646609625e+01,-8.296137299669192444e+00,-9.923826112249789499e-01,9.486984278731840081e-03
1.200000000000000025e-02,-4.564380431591224391e-03,2.061810915677724676e+00,-1.292203840992763419e+00,-7.643227302760827735e-01,2.188558336075447502e-02,1.570357329440817074e+00,-7.155364147554275078e-01,-1.074843796559788317e-01,-1.059608026416715365e+00,1.706914378609985405e+00,3.100437356730019189e+00,-5.483390435172592198e-02,-5.423473740546675970e+00,-2.886788506403921417e+01,-1.978652176136989382e+01,-8.063397188037303209e+00,-8.529363346635885357e-01,9.177892936506100094e-03
1.400000000000000029e-02,-5.967960353137130233e-03,2.061597582804229223e+00,-1.294207833944256425e+00,-7.609228650622932300e-01,2.806596157131433650e-02,1.570245080546543326e+00,-7.339366247900775964e-01,-1.103865384823880941e-01,-1.130911793304448132e+00,1.718764731814700575e+00,3.120593748486445662e+00,-5.350130699948642266e-02,-5.283739284364945554e+00,-2.879250255395076863e+01,-1.924912844089016772e+01,-7.893473874511512278e+00,-8.698017218947783347e-01,8.949341890054061249e-03
1.600000000000000033e-02,-7.396475415941396354e-03,2.061386019987220486e+00,-1.296353891104694789e+00,-7.575356727372520860e-01,3.420671875310601212e-02,1.570137847840193723e+00,-7.538711578650023615e-01,-1.163722144456512259e-01,-1.197454064174139576e+00,1.736010960356018318e+00,3.148518340626906831e+00,-5.260622980077731686e-02,-4.328927800283111083e+00,-2.871578804768195425e+01,-1.871513454788108888e+01,-7.730934357149168434e+00,-7.616583262581471114e-01,8.773175321342406921e-03
1.800000000000000211e-02,-8.874754726424837273e-03,2.061163754162878003e+00,-1.298650688090822847e+00,-7.540864827602854481e-01,4.047453679127809012e-02,1.570031051291916890e+00,-7.696425484935707217e-01,-1.240861917014906973e-01,-1.255579836148831063e+00,1.745478836270693446e+00,3.151531055816780391e+00,-5.130207103303180416e-02,-2.355757620714475031e+00,-2.863918854623160826e+01,-1.818288341583966528e+01,-7.548116191254960583e+00,-4.244984582845495735e-01,8.626224197254287601e-03
